['ticks_us','SGP30_ETOH_RAW', 'RH', 'T', 'SGP30_TVOC', 'SGP30_H2_RAW', 'mac', 'payload_version', 'SGP30_CO2EQ']
262842978 17650 29.3 32.8 11 13256 240ac48eb9d4 99 527
263842960 17641 29.8 32.8 20 13251 240ac48eb9d4 99 552
264842873 17648 30.3 32.8 18 13268 240ac48eb9d4 99 502
265842966 17640 31.1 32.8 29 13275 240ac48eb9d4 99 495
266842938 17642 31.1 32.8 22 13281 240ac48eb9d4 99 471
267844963 17653 30.6 32.8 14 13298 240ac48eb9d4 99 444
268842748 17653 30.0 32.8 16 13301 240ac48eb9d4 99 443
269842796 17658 29.8 32.8 7 13304 240ac48eb9d4 99 433
270842765 17645 29.8 32.7 22 13265 240ac48eb9d4 99 503
271843061 17648 29.8 32.7 24 13273 240ac48eb9d4 99 483
272842937 17657 29.6 32.7 13 13289 240ac48eb9d4 99 467
273842695 17651 29.7 32.7 15 13275 240ac48eb9d4 99 504
274842953 17626 30.8 32.6 32 13107 240ac48eb9d4 99 808
275842953 17626 31.2 32.6 44 13141 240ac48eb9d4 99 728
276842796 17632 31.0 32.7 37 13195 240ac48eb9d4 99 643
277842960 17638 30.7 32.7 27 13230 240ac48eb9d4 99 575
278842678 17637 30.5 32.8 28 13244 240ac48eb9d4 99 544
279842604 17637 30.2 32.9 28 13260 240ac48eb9d4 99 509
280842872 17644 29.7 32.9 22 13270 240ac48eb9d4 99 493
281842965 17650 29.6 33.0 16 13277 240ac48eb9d4 99 478
282842960 17650 29.4 33.0 16 13280 240ac48eb9d4 99 476
283842695 17651 29.4 33.0 21 13260 240ac48eb9d4 99 522
284842925 17646 29.5 33.0 14 13254 240ac48eb9d4 99 509
285842691 17649 29.5 32.8 21 13267 240ac48eb9d4 99 506
286843358 17653 29.3 32.7 18 13287 240ac48eb9d4 99 461
287842982 17653 29.2 32.8 17 13297 240ac48eb9d4 99 440
288842678 17658 29.0 32.8 11 13309 240ac48eb9d4 99 426
289842608 17661 29.0 32.8 3 13310 240ac48eb9d4 99 410
290842596 17666 29.0 32.9 5 13278 240ac48eb9d4 99 499
291842963 17653 29.1 33.0 10 13248 240ac48eb9d4 99 526
292842596 17655 29.1 33.1 10 13274 240ac48eb9d4 99 481
293842812 17659 28.9 33.1 11 13283 240ac48eb9d4 99 456
294842864 17664 28.7 33.2 1 13298 240ac48eb9d4 99 440
295842876 17665 28.6 33.2 5 13300 240ac48eb9d4 99 428
296842868 17674 28.4 33.2 0 13306 240ac48eb9d4 99 427
297842753 17679 28.3 33.2 0 13308 240ac48eb9d4 99 416
298842953 17671 28.2 33.2 11 13301 240ac48eb9d4 99 436
299842682 17675 28.1 33.2 3 13302 240ac48eb9d4 99 434
300842792 17668 28.1 33.2 5 13296 240ac48eb9d4 99 440
301842808 17675 28.1 33.3 1 13298 240ac48eb9d4 99 439
302842678 17673 28.1 33.3 3 13296 240ac48eb9d4 99 442
303842777 17668 28.2 33.3 4 13290 240ac48eb9d4 99 445
304842773 17666 28.2 33.2 11 13292 240ac48eb9d4 99 449
305842963 17661 28.2 33.2 12 13290 240ac48eb9d4 99 452
306842804 17671 28.3 33.2 7 13295 240ac48eb9d4 99 454
307843175 17661 28.3 33.2 10 13288 240ac48eb9d4 99 451
308842773 17663 28.3 33.3 11 13291 240ac48eb9d4 99 448
309842600 17660 28.3 33.3 22 13282 240ac48eb9d4 99 458
310842816 17659 28.4 33.2 15 13282 240ac48eb9d4 99 461
