['ticks_us','SGP30_ETOH_RAW', 'RH', 'T', 'SGP30_TVOC', 'SGP30_H2_RAW', 'mac', 'payload_version', 'SGP30_CO2EQ']
181931414 17565 30.2 32.4 19 13513 240ac48e2ac0 99 458
182931436 17574 30.1 32.5 14 13517 240ac48e2ac0 99 440
183930773 17570 30.1 32.5 14 13515 240ac48e2ac0 99 446
184931285 17579 30.1 32.5 16 13517 240ac48e2ac0 99 443
185931218 17574 30.0 32.5 10 13519 240ac48e2ac0 99 448
186931361 17578 30.0 32.4 12 13518 240ac48e2ac0 99 448
187931353 17579 29.9 32.4 8 13517 240ac48e2ac0 99 445
188931430 17579 29.9 32.4 11 13524 240ac48e2ac0 99 433
189931437 17571 29.9 32.4 12 13517 240ac48e2ac0 99 442
190931309 17580 30.0 32.4 13 13514 240ac48e2ac0 99 440
191931458 17574 29.9 32.3 16 13516 240ac48e2ac0 99 433
192931596 17580 29.8 32.20000000000001 10 13520 240ac48e2ac0 99 426
193931625 17580 29.8 32.1 12 13527 240ac48e2ac0 99 434
194931402 17581 29.9 32.1 13 13524 240ac48e2ac0 99 429
195931357 17587 30.1 32.1 3 13530 240ac48e2ac0 99 425
196931349 17579 30.1 32.1 5 13534 240ac48e2ac0 99 425
197931160 17584 30.2 32.0 4 13526 240ac48e2ac0 99 421
198931341 17578 30.3 31.9 10 13521 240ac48e2ac0 99 415
199931301 17581 30.3 31.9 5 13530 240ac48e2ac0 99 407
200931130 17580 30.3 31.9 5 13526 240ac48e2ac0 99 425
201931305 17585 30.3 31.9 2 13537 240ac48e2ac0 99 408
202931325 17592 30.4 32.0 0 13536 240ac48e2ac0 99 410
203931269 17590 30.3 32.0 0 13543 240ac48e2ac0 99 400
204931341 17591 30.3 31.9 0 13536 240ac48e2ac0 99 404
205930911 17589 30.2 32.0 5 13536 240ac48e2ac0 99 415
206931325 17590 30.1 32.1 0 13531 240ac48e2ac0 99 417
207931436 17586 30.1 32.0 10 13528 240ac48e2ac0 99 449
208931349 17590 30.1 32.0 5 13523 240ac48e2ac0 99 429
209931345 17588 30.1 32.0 0 13523 240ac48e2ac0 99 431
210931342 17586 30.2 32.0 7 13527 240ac48e2ac0 99 431
211931357 17585 30.2 31.9 6 13525 240ac48e2ac0 99 429
212931486 17588 30.2 31.9 2 13527 240ac48e2ac0 99 423
213931160 17589 30.2 31.9 7 13531 240ac48e2ac0 99 413
214931349 17586 30.2 31.9 6 13533 240ac48e2ac0 99 422
215931361 17588 30.3 31.9 7 13528 240ac48e2ac0 99 415
216931418 17586 30.3 31.9 10 13527 240ac48e2ac0 99 426
217931352 17589 30.2 31.9 7 13530 240ac48e2ac0 99 418
218931179 17583 30.2 31.9 2 13533 240ac48e2ac0 99 403
219931435 17586 30.2 31.9 10 13534 240ac48e2ac0 99 413
220931341 17586 30.1 31.9 4 13541 240ac48e2ac0 99 401
221931051 17584 30.0 31.9 3 13534 240ac48e2ac0 99 402
222931199 17592 30.0 31.9 0 13540 240ac48e2ac0 99 400
223931328 17593 30.0 32.0 8 13543 240ac48e2ac0 99 407
224931304 17594 30.0 31.9 6 13544 240ac48e2ac0 99 400
225871364 17595 29.9 32.0 -1 13539 240ac48e2ac0 99 -1
226943253 17597 29.9 31.9 0 13543 240ac48e2ac0 99 400
227931071 17598 29.9 32.0 0 13548 240ac48e2ac0 99 400
228931125 17594 29.8 31.9 0 13547 240ac48e2ac0 99 400
229931272 17593 29.8 31.9 0 13549 240ac48e2ac0 99 400
230931344 17597 29.7 31.9 0 13550 240ac48e2ac0 99 400
231930485 17600 29.7 31.9 0 13551 240ac48e2ac0 99 400
232931138 17606 29.7 31.9 0 13555 240ac48e2ac0 99 400
233931364 17604 29.7 31.9 0 13552 240ac48e2ac0 99 400
234931348 17605 29.7 31.9 0 13552 240ac48e2ac0 99 400
235931360 17607 29.7 31.9 0 13545 240ac48e2ac0 99 400
236931348 17599 29.7 31.9 0 13551 240ac48e2ac0 99 400
237931167 17606 29.7 31.9 0 13550 240ac48e2ac0 99 400
238931284 17602 29.7 31.9 0 13549 240ac48e2ac0 99 400
239931707 17600 29.7 32.0 0 13545 240ac48e2ac0 99 400
240931344 17595 29.8 31.9 0 13537 240ac48e2ac0 99 400
241931336 17593 29.8 31.9 0 13540 240ac48e2ac0 99 400
242931292 17598 29.9 31.9 9 13544 240ac48e2ac0 99 400
243931284 17595 29.9 32.0 1 13540 240ac48e2ac0 99 401
244931264 17594 29.9 32.0 0 13541 240ac48e2ac0 99 403
245931288 17594 29.8 32.0 4 13540 240ac48e2ac0 99 400
246931324 17600 29.8 32.0 0 13541 240ac48e2ac0 99 402
247931352 17599 29.8 32.0 10 13536 240ac48e2ac0 99 417
248931344 17600 29.8 31.9 1 13537 240ac48e2ac0 99 406
249931364 17601 29.8 31.9 3 13541 240ac48e2ac0 99 410
250931348 17598 29.8 32.0 10 13533 240ac48e2ac0 99 416
251930627 17600 29.9 32.0 7 13540 240ac48e2ac0 99 408
252931341 17595 29.9 31.9 11 13537 240ac48e2ac0 99 400
253931352 17602 29.9 32.0 9 13547 240ac48e2ac0 99 405
254931063 17594 29.8 31.9 8 13543 240ac48e2ac0 99 411
255931292 17598 29.8 31.9 2 13548 240ac48e2ac0 99 400
256931348 17602 29.8 31.9 2 13548 240ac48e2ac0 99 404
257931158 17595 29.9 32.0 8 13544 240ac48e2ac0 99 405
258931332 17604 29.9 32.0 2 13546 240ac48e2ac0 99 404
259931284 17599 29.9 32.0 8 13543 240ac48e2ac0 99 404
260931409 17603 29.9 32.0 10 13539 240ac48e2ac0 99 414
261931352 17594 29.9 32.0 4 13537 240ac48e2ac0 99 412
262931341 17599 29.9 31.9 6 13536 240ac48e2ac0 99 417
263930763 17595 29.9 31.9 7 13542 240ac48e2ac0 99 410
264931280 17597 29.9 31.9 2 13536 240ac48e2ac0 99 403
265931268 17604 29.9 31.9 5 13541 240ac48e2ac0 99 412
266931727 17599 29.9 32.0 2 13535 240ac48e2ac0 99 418
267931271 17598 29.9 32.1 8 13534 240ac48e2ac0 99 416
268931279 17591 29.9 32.0 11 13532 240ac48e2ac0 99 424
269931283 17600 29.8 32.0 8 13532 240ac48e2ac0 99 417
270931062 17598 29.8 32.0 15 13533 240ac48e2ac0 99 422
271931420 17595 29.8 32.0 11 13534 240ac48e2ac0 99 417
272931279 17594 29.8 32.0 7 13542 240ac48e2ac0 99 412
273931347 17590 29.8 32.0 9 13536 240ac48e2ac0 99 404
274931331 17601 29.9 32.0 0 13543 240ac48e2ac0 99 401
275930825 17592 29.9 32.0 13 13538 240ac48e2ac0 99 408
276931137 17599 29.9 31.9 7 13538 240ac48e2ac0 99 400
277931240 17601 30.0 32.0 8 13538 240ac48e2ac0 99 420
278931223 17602 30.0 31.9 2 13543 240ac48e2ac0 99 409
279931299 17598 30.0 32.0 6 13535 240ac48e2ac0 99 425
280931239 17601 30.0 31.9 9 13533 240ac48e2ac0 99 409
281931244 17599 30.0 31.9 4 13530 240ac48e2ac0 99 419
282930983 17593 30.1 31.9 4 13537 240ac48e2ac0 99 407
283931331 17603 30.0 31.9 2 13540 240ac48e2ac0 99 413
284931327 17598 30.0 31.9 14 13540 240ac48e2ac0 99 413
285931324 17592 30.0 31.8 6 13537 240ac48e2ac0 99 419
286931339 17609 29.9 31.9 5 13542 240ac48e2ac0 99 409
287931347 17603 29.9 31.9 0 13544 240ac48e2ac0 99 400
288931128 17605 29.9 31.9 1 13545 240ac48e2ac0 99 405
289931244 17605 30.0 31.9 2 13546 240ac48e2ac0 99 411
290931331 17599 30.0 31.9 4 13542 240ac48e2ac0 99 400
291931335 17607 30.1 31.8 0 13541 240ac48e2ac0 99 407
292931339 17602 30.1 31.9 0 13538 240ac48e2ac0 99 411
293931303 17609 30.1 31.9 0 13543 240ac48e2ac0 99 413
294931240 17601 30.1 31.9 0 13538 240ac48e2ac0 99 407
295931299 17605 29.9 31.9 5 13543 240ac48e2ac0 99 404
296931000 17608 29.7 31.9 0 13552 240ac48e2ac0 99 400
297931363 17606 29.7 31.9 7 13551 240ac48e2ac0 99 406
298931248 17609 29.9 31.9 4 13545 240ac48e2ac0 99 409
299931323 17604 30.0 31.9 1 13540 240ac48e2ac0 99 420
300931339 17602 30.2 31.8 3 13534 240ac48e2ac0 99 420
301931351 17608 30.3 31.8 12 13536 240ac48e2ac0 99 432
302931153 17600 30.4 31.8 6 13534 240ac48e2ac0 99 439
303931351 17602 30.4 31.9 3 13535 240ac48e2ac0 99 442
304931248 17602 30.4 31.9 9 13530 240ac48e2ac0 99 437
305931351 17595 30.4 31.9 9 13525 240ac48e2ac0 99 440
306931347 17602 30.4 31.9 10 13531 240ac48e2ac0 99 440
307931351 17592 30.4 31.9 7 13525 240ac48e2ac0 99 441
308931427 17598 30.4 32.0 13 13531 240ac48e2ac0 99 445
309931347 17601 30.4 32.0 14 13526 240ac48e2ac0 99 452
310931427 17595 30.4 32.0 14 13521 240ac48e2ac0 99 454
311931434 17589 30.3 32.0 16 13525 240ac48e2ac0 99 446
312931428 17588 30.2 32.0 13 13530 240ac48e2ac0 99 428
313931434 17591 30.1 32.0 17 13530 240ac48e2ac0 99 436
314930849 17593 30.0 31.8 13 13533 240ac48e2ac0 99 430
315931351 17587 30.3 31.7 22 13466 240ac48e2ac0 99 567
316931434 17586 30.8 31.7 19 13469 240ac48e2ac0 99 539
317931391 17593 31.0 31.8 15 13507 240ac48e2ac0 99 465
318931262 17605 30.9 31.9 6 13537 240ac48e2ac0 99 432
319930929 17601 30.8 31.9 7 13525 240ac48e2ac0 99 439
320931426 17598 30.6 32.0 10 13520 240ac48e2ac0 99 445
321931342 17605 30.5 32.1 10 13525 240ac48e2ac0 99 449
322931278 17603 30.9 32.1 3 13509 240ac48e2ac0 99 461
323931302 17616 30.9 32.1 4 13524 240ac48e2ac0 99 431
324931512 17610 30.7 32.20000000000001 0 13541 240ac48e2ac0 99 408
325931536 17614 30.4 32.20000000000001 0 13537 240ac48e2ac0 99 400
326871286 17615 30.2 32.3 -1 13549 240ac48e2ac0 99 -1
327943226 17623 30.0 32.3 0 13550 240ac48e2ac0 99 400
328930978 17619 29.9 32.3 0 13549 240ac48e2ac0 99 400
329931342 17620 29.9 32.4 0 13543 240ac48e2ac0 99 400
330931239 17624 29.9 32.4 0 13547 240ac48e2ac0 99 400
331931239 17618 29.9 32.4 0 13540 240ac48e2ac0 99 400
332931330 17615 29.9 32.4 0 13535 240ac48e2ac0 99 400
333931342 17614 29.9 32.4 0 13542 240ac48e2ac0 99 400
334931338 17622 29.7 32.4 0 13546 240ac48e2ac0 99 400
335931290 17623 29.6 32.4 0 13552 240ac48e2ac0 99 400
336931338 17614 30.2 32.3 0 13467 240ac48e2ac0 99 400
337931346 17612 30.7 32.3 0 13430 240ac48e2ac0 99 400
338931330 17598 30.7 32.3 0 13446 240ac48e2ac0 99 400
339931078 17597 30.7 32.3 0 13465 240ac48e2ac0 99 400
340931338 17582 31.3 32.3 0 13374 240ac48e2ac0 99 400
341931290 17560 31.9 32.3 0 13307 240ac48e2ac0 99 400
342931338 17557 31.9 32.3 0 13307 240ac48e2ac0 99 400
343930982 17567 31.4 32.3 0 13393 240ac48e2ac0 99 400
344931350 17552 31.7 32.3 2 13353 240ac48e2ac0 99 400
345931612 17562 31.5 32.3 0 13433 240ac48e2ac0 99 400
346930970 17572 31.3 32.4 0 13468 240ac48e2ac0 99 400
347931262 17576 31.1 32.4 0 13485 240ac48e2ac0 99 400
348931251 17576 31.1 32.5 6 13461 240ac48e2ac0 99 400
349931274 17577 30.8 32.5 0 13458 240ac48e2ac0 99 400
350931136 17579 30.6 32.5 0 13440 240ac48e2ac0 99 400
351931486 17573 30.6 32.4 2 13419 240ac48e2ac0 99 400
352931073 17571 30.2 32.4 9 13386 240ac48e2ac0 99 428
353930810 17572 30.1 32.4 7 13451 240ac48e2ac0 99 400
354931278 17580 29.9 32.4 1 13440 240ac48e2ac0 99 400
355931350 17581 29.8 32.4 2 13423 240ac48e2ac0 99 400
356931247 17582 29.9 32.4 1 13467 240ac48e2ac0 99 400
357931350 17591 29.9 32.4 0 13499 240ac48e2ac0 99 400
358931262 17603 29.8 32.3 0 13518 240ac48e2ac0 99 400
359931247 17603 29.8 32.3 0 13528 240ac48e2ac0 99 400
360931458 17558 30.0 32.1 53 13110 240ac48e2ac0 99 1147
361931797 17462 33.70000000000001 32.0 143 12806 240ac48e2ac0 99 1791
362931608 17465 33.6 32.0 147 13077 240ac48e2ac0 99 1116
363930924 17482 32.6 32.1 120 13264 240ac48e2ac0 99 767
364931407 17514 31.6 32.1 81 13399 240ac48e2ac0 99 513
365931478 17543 30.9 32.20000000000001 59 13473 240ac48e2ac0 99 400
366931426 17561 30.4 32.20000000000001 38 13513 240ac48e2ac0 99 400
367931418 17578 30.0 32.20000000000001 19 13492 240ac48e2ac0 99 400
368931607 17600 29.6 32.20000000000001 10 13519 240ac48e2ac0 99 400
369931356 17606 29.2 32.3 0 13544 240ac48e2ac0 99 400
370931337 17611 28.9 32.3 0 13545 240ac48e2ac0 99 400
371931361 17618 28.7 32.3 9 13547 240ac48e2ac0 99 400
372931345 17623 28.8 32.4 4 13547 240ac48e2ac0 99 400
373931345 17626 28.7 32.4 0 13552 240ac48e2ac0 99 400
374931329 17626 28.4 32.4 0 13552 240ac48e2ac0 99 400
375930915 17624 29.1 32.4 0 13537 240ac48e2ac0 99 427
376931242 17625 29.1 32.5 5 13540 240ac48e2ac0 99 411
377931345 17638 28.9 32.5 0 13550 240ac48e2ac0 99 400
378931163 17637 28.7 32.6 0 13558 240ac48e2ac0 99 400
379931155 17638 28.6 32.5 1 13543 240ac48e2ac0 99 433
380931398 17618 29.0 32.4 18 13421 240ac48e2ac0 99 662
381931437 17621 29.2 32.4 21 13428 240ac48e2ac0 99 635
382931010 17631 28.8 32.3 4 13515 240ac48e2ac0 99 477
383931139 17638 28.6 32.3 1 13548 240ac48e2ac0 99 422
384931421 17639 28.9 32.20000000000001 2 13485 240ac48e2ac0 99 534
385931611 17630 29.1 32.20000000000001 10 13476 240ac48e2ac0 99 540
386931437 17639 29.1 32.20000000000001 0 13523 240ac48e2ac0 99 464
387931563 17633 29.4 32.20000000000001 9 13452 240ac48e2ac0 99 606
388931431 17619 29.6 32.1 18 13446 240ac48e2ac0 99 610
389931345 17633 29.4 32.20000000000001 12 13502 240ac48e2ac0 99 506
390931437 17637 29.2 32.20000000000001 6 13531 240ac48e2ac0 99 451
391931345 17648 29.0 32.1 0 13550 240ac48e2ac0 99 411
392931329 17642 29.0 32.1 2 13536 240ac48e2ac0 99 449
393931285 17641 29.1 32.1 8 13504 240ac48e2ac0 99 509
394931264 17644 29.3 32.1 0 13510 240ac48e2ac0 99 483
395931353 17643 29.3 32.1 1 13520 240ac48e2ac0 99 475
396931059 17651 29.1 32.1 0 13541 240ac48e2ac0 99 424
397931090 17656 28.9 32.20000000000001 0 13560 240ac48e2ac0 99 400
398931506 17655 28.8 32.20000000000001 0 13564 240ac48e2ac0 99 400
399931333 17658 28.6 32.20000000000001 0 13574 240ac48e2ac0 99 400
400931085 17661 28.6 32.3 2 13566 240ac48e2ac0 99 432
401931543 17665 28.5 32.20000000000001 3 13576 240ac48e2ac0 99 408
402931341 17661 28.5 32.3 0 13585 240ac48e2ac0 99 400
403931357 17664 28.4 32.3 0 13586 240ac48e2ac0 99 400
404931151 17669 28.4 32.3 8 13583 240ac48e2ac0 99 409
405931176 17667 28.4 32.3 0 13592 240ac48e2ac0 99 402
406931261 17670 28.3 32.3 0 13584 240ac48e2ac0 99 403
407931341 17676 28.2 32.4 0 13589 240ac48e2ac0 99 400
408931337 17667 28.1 32.3 7 13585 240ac48e2ac0 99 407
409931413 17663 28.1 32.4 12 13581 240ac48e2ac0 99 401
410931321 17667 28.0 32.4 4 13588 240ac48e2ac0 99 404
411931353 17676 27.9 32.4 2 13594 240ac48e2ac0 99 400
412931402 17666 28.1 32.4 10 13580 240ac48e2ac0 99 410
413931155 17665 28.3 32.5 5 13584 240ac48e2ac0 99 419
414931345 17670 28.4 32.5 1 13582 240ac48e2ac0 99 424
