['ticks_us','SGP30_ETOH_RAW', 'RH', 'T', 'SGP30_TVOC', 'SGP30_H2_RAW', 'mac', 'payload_version', 'SGP30_CO2EQ']
196934503 17480 31.2 31.7 11 13113 240ac48df9dc 99 400
197934703 17480 31.2 31.7 10 13110 240ac48df9dc 99 414
198934488 17491 31.3 31.7 4 13109 240ac48df9dc 99 403
199934527 17486 31.3 31.7 7 13117 240ac48df9dc 99 411
200934394 17490 31.2 31.6 3 13116 240ac48df9dc 99 401
201934587 17497 31.3 31.6 4 13115 240ac48df9dc 99 405
202934591 17497 31.3 31.7 7 13113 240ac48df9dc 99 417
203934595 17500 31.3 31.7 3 13115 240ac48df9dc 99 401
204934580 17499 31.2 31.7 0 13117 240ac48df9dc 99 405
205934599 17504 31.1 31.7 1 13117 240ac48df9dc 99 401
206934571 17504 31.1 31.7 0 13126 240ac48df9dc 99 400
207934587 17509 31.0 31.7 0 13118 240ac48df9dc 99 400
208934587 17508 31.0 31.6 5 13124 240ac48df9dc 99 406
209934576 17510 31.0 31.6 9 13120 240ac48df9dc 99 407
210934587 17506 31.1 31.7 4 13123 240ac48df9dc 99 401
211934591 17510 31.1 31.7 1 13125 240ac48df9dc 99 403
212934488 17516 31.1 31.7 2 13122 240ac48df9dc 99 417
213934591 17515 31.1 31.7 7 13116 240ac48df9dc 99 411
214934394 17508 31.1 31.7 1 13123 240ac48df9dc 99 404
215934386 17505 31.0 31.7 4 13117 240ac48df9dc 99 415
216934488 17503 31.0 31.7 7 13113 240ac48df9dc 99 418
217934594 17507 31.0 31.7 8 13112 240ac48df9dc 99 417
218934578 17511 31.0 31.7 0 13117 240ac48df9dc 99 406
219934628 17504 30.9 31.7 5 13116 240ac48df9dc 99 408
220933910 17517 30.9 31.8 0 13120 240ac48df9dc 99 401
221934526 17513 30.8 31.7 1 13124 240ac48df9dc 99 403
222934579 17521 30.8 31.8 2 13124 240ac48df9dc 99 401
223934582 17519 30.7 31.8 0 13120 240ac48df9dc 99 400
224934313 17512 30.7 31.8 3 13119 240ac48df9dc 99 400
225875602 17517 30.7 31.9 -1 13120 240ac48df9dc 99 -1
226948211 17511 30.6 31.8 0 13115 240ac48df9dc 99 400
227934468 17517 30.6 31.8 0 13115 240ac48df9dc 99 400
228934502 17510 30.5 31.8 0 13111 240ac48df9dc 99 400
229934050 17517 30.5 31.8 0 13116 240ac48df9dc 99 400
230934206 17511 30.5 31.8 0 13123 240ac48df9dc 99 400
231934131 17513 30.4 31.8 0 13123 240ac48df9dc 99 400
